題號,題目(英),選項(英),正確答案,答案備註,解析(中),題目(中),選項(中)
1,"A company collects data for temperature, humidity, and atmospheric pressure in cities across multiple continents. The average volume of data
that the company collects from each site daily is 500 GB. Each site has a high-speed Internet connection.
The company wants to aggregate the data from all these global sites as quickly as possible in a single Amazon S3 bucket. The solution must
minimize operational complexity.
Which solution meets these requirements?","A. Turn on S3 Transfer Acceleration on the destination S3 bucket. Use multipart uploads to directly upload site data to the destination S3
bucket.
B. Upload the data from each site to an S3 bucket in the closest Region. Use S3 Cross-Region Replication to copy objects to the
destination S3 bucket. Then remove the data from the origin S3 bucket.
C. Schedule AWS Snowball Edge Storage Optimized device jobs daily to transfer data from each site to the closest Region. Use S3 Cross-
Region Replication to copy objects to the destination S3 bucket.
D. Upload the data from each site to an Amazon EC2 instance in the closest Region. Store the data in an Amazon Elastic Block Store
(Amazon EBS) volume. At regular intervals, take an EBS snapshot and copy it to the Region that contains the destination S3 bucket.
Restore the EBS volume in that Region.",A,A (98% community votes),"答案是 A，因為啟用 S3 傳輸加速功能可以加速數據傳輸，減少上傳時間。使用多部分上傳可以將大文件分割成小文件，提高上傳效率。這個解決方案最小化操作複雜性，因為不需要額外的設備或中間儲存。其他選項不正確，因為：
- 選項 B 需要額外的步驟，例如刪除原始數據和跨區域複製，增加了操作複雜性。
- 選項 C 需要使用物理設備（AWS Snowball Edge），增加了成本和複雜性。
- 選項 D 需要使用 Amazon EC2 實例和 EBS 卷，增加了成本和複雜性，並且需要額外的步驟，例如建立快照和恢復 EBS 卷。因此，選項 A 是最合適的解決方案。",一家公司在多個大陸的城市中收集溫度、濕度和大氣壓力的數據。公司每天從每個站點收集的平均數據量為 500 GB。每個站點都有高速網際網路連接。公司希望盡快地將所有全球站點的數據匯總到單一的 Amazon S3 儲存桶中。解決方案必須最小化操作複雜性。哪個解決方案能夠滿足這些需求？,"A. 啟用目的地 S3 儲存桶的 S3 傳輸加速功能。使用多部分上傳直接將站點數據上傳到目的地 S3 儲存桶。
B. 將每個站點的數據上傳到最接近的區域的 S3 儲存桶。使用 S3 跨區域複製功能將物件複製到目的地 S3 儲存桶。然後從原始 S3 儲存桶中刪除數據。
C. 每天安排 AWS Snowball Edge 儲存優化設備工作，以將每個站點的數據傳輸到最接近的區域。使用 S3 跨區域複製功能將物件複製到目的地 S3 儲存桶。
D. 將每個站點的數據上傳到最接近的區域的 Amazon EC2 實例。將數據存儲在 Amazon Elastic Block Store (Amazon EBS) 卷中。在定期間隔內，建立 EBS 快照並將其複製到包含目的地 S3 儲存桶的區域。恢復 EBS 卷在該區域。"
2,"A company needs the ability to analyze the log les of its proprietary application. The logs are stored in JSON format in an Amazon S3
bucket. Queries will be simple and will run on-demand. A solutions architect needs to perform the analysis with minimal changes to the
existing architecture.
What should the solutions architect do to meet these requirements with the LEAST amount of operational overhead?","A. Use Amazon Redshift to load all the content into one place and run the SQL queries as needed.
B. Use Amazon CloudWatch Logs to store the logs. Run SQL queries as needed from the Amazon CloudWatch console.
C. Use Amazon Athena directly with Amazon S3 to run the queries as needed.
D. Use AWS Glue to catalog the logs. Use a transient Apache Spark cluster on Amazon EMR to run the SQL queries as needed.",C,C (100% community votes),"答案是 C，因為 Amazon Athena 可以直接與 Amazon S3 連接，讓您能夠在不需要修改現有架構的情況下，直接對 JSON 格式的記錄檔進行查詢。這種方法的運營成本最低，因為您不需要設定或管理任何額外的基礎設施。 
選項 A 不正確，因為使用 Amazon Redshift 需要將所有記錄檔載入 Redshift 叢集，這需要額外的設定和管理。選項 B 不正確，因為 Amazon CloudWatch Logs 主要用於監控和警報，而不是複雜的查詢。選項 D 不正確，因為使用 AWS Glue 和 Amazon EMR 需要設定和管理 Apache Spark 叢集，這增加了運營成本和複雜性。因此，選項 C 是最合適的選擇。",一家公司需要分析其專有應用程式的記錄檔。記錄檔以 JSON 格式儲存在 Amazon S3 儲存桶中。查詢將簡單且按需運行。解決方案架構師需要在現有架構上進行最少修改的情況下執行分析。,"A. 使用 Amazon Redshift 將所有內容載入一個地方並根據需要運行 SQL 查詢。
B. 使用 Amazon CloudWatch Logs 儲存記錄檔。從 Amazon CloudWatch 主控台根據需要運行 SQL 查詢。
C. 使用 Amazon Athena 直接與 Amazon S3 連接，根據需要運行查詢。
D. 使用 AWS Glue 將記錄檔編目。使用 Amazon EMR 上的暫時 Apache Spark 叢集根據需要運行 SQL 查詢。"
3,"A company uses AWS Organizations to manage multiple AWS accounts for different departments. The management account has an Amazon
S3 bucket that contains project reports. The company wants to limit access to this S3 bucket to only users of accounts within the organization
in AWS Organizations.
Which solution meets these requirements with the LEAST amount of operational overhead?","A. Add the aws PrincipalOrgID global condition key with a reference to the organization ID to the S3 bucket policy.
B. Create an organizational unit (OU) for each department. Add the aws:PrincipalOrgPaths global condition key to the S3 bucket policy.
C. Use AWS CloudTrail to monitor the CreateAccount, InviteAccountToOrganization, LeaveOrganization, and
RemoveAccountFromOrganization events. Update the S3 bucket policy accordingly.
D. Tag each user that needs access to the S3 bucket. Add the aws:PrincipalTag global condition key to the S3 bucket policy.",A,A (97% community votes),"答案是 A，因為它是最直接且低運營成本的解決方案。通過在 S3 儲存桶政策中添加 aws PrincipalOrgID 全域條件鍵，並參照組織 ID，可以限制存取此 S3 儲存桶的權限，僅限於組織內的帳戶使用者。這個解決方案不需要建立組織單位、監控事件或標記使用者，從而減少了運營成本。
其他選項不正確的原因是：
B 選項需要建立組織單位和添加全域條件鍵，增加了運營成本和複雜度。
C 選項需要使用 AWS CloudTrail 監控事件和更新 S3 儲存桶政策，增加了運營成本和複雜度。
D 選項需要標記每個使用者和添加全域條件鍵，增加了運營成本和複雜度。
因此，A 選項是最合適的解決方案。",一家公司使用 AWS Organizations 管理多個 AWS 帳戶，供不同部門使用。管理帳戶中有一個 Amazon S3 儲存桶，包含專案報告。公司希望限制存取此 S3 儲存桶的權限，僅限於組織內的帳戶使用者。,"A. 將 aws PrincipalOrgID 全域條件鍵添加到 S3 儲存桶政策中，參照組織 ID。
B. 為每個部門建立一個組織單位 (OU)。將 aws:PrincipalOrgPaths 全域條件鍵添加到 S3 儲存桶政策中。
C. 使用 AWS CloudTrail 監控 CreateAccount、InviteAccountToOrganization、LeaveOrganization 和 RemoveAccountFromOrganization 事件。根據需要更新 S3 儲存桶政策。
D. 標記每個需要存取 S3 儲存桶的使用者。將 aws:PrincipalTag 全域條件鍵添加到 S3 儲存桶政策中。"
4,"An application runs on an Amazon EC2 instance in a VPC. The application processes logs that are stored in an Amazon S3 bucket. The EC2
instance needs to access the S3 bucket without connectivity to the internet.
Which solution will provide private network connectivity to Amazon S3?","A. Create a gateway VPC endpoint to the S3 bucket.
B. Stream the logs to Amazon CloudWatch Logs. Export the logs to the S3 bucket.
C. Create an instance prole on Amazon EC2 to allow S3 access.
D. Create an Amazon API Gateway API with a private link to access the S3 endpoint.",A,A (100% community votes),"正確答案是 A，因為建立一個網關 VPC 端點到 S3 儲存桶可以提供私有網路連接到 Amazon S3。這種方法允許 EC2 實例在不需要連接到網際網路的情況下存取 S3 儲存桶。網關 VPC 端點是一種 AWS 服務，可以讓 VPC 中的資源存取其他 AWS 服務，而不需要透過網際網路。

其他選項不正確的原因是：
- 選項 B 需要將日誌串流到 Amazon CloudWatch Logs，然後再匯出到 S3 儲存桶，這種方法需要連接到網際網路，因此不符合題目的要求。
- 選項 C 建立一個實例角色可以允許 EC2 實例存取 S3 儲存桶，但是這種方法需要連接到網際網路，因此也不符合題目的要求。
- 選項 D 建立一個 Amazon API Gateway API 並不直接提供私有網路連接到 S3 儲存桶，且需要連接到網際網路，因此也不符合題目的要求。

因此，建立一個網關 VPC 端點到 S3 儲存桶是最適合的解決方案，可以提供私有網路連接到 Amazon S3。",一個應用程式運行在 Amazon EC2 實例中，位於一個 VPC 中。該應用程式處理儲存在 Amazon S3 儲存桶中的日誌。EC2 實例需要在沒有連接到網際網路的情況下存取 S3 儲存桶。哪種解決方案可以提供私有網路連接到 Amazon S3？,"A. 建立一個網關 VPC 端點到 S3 儲存桶。
B. 將日誌串流到 Amazon CloudWatch Logs，然後將日誌匯出到 S3 儲存桶。
C. 在 Amazon EC2 上建立一個實例角色以允許 S3 存取。
D. 建立一個 Amazon API Gateway API，具有私有連結來存取 S3 端點。"
5,"A company is hosting a web application on AWS using a single Amazon EC2 instance that stores user-uploaded documents in an Amazon EBS
volume. For better scalability and availability, the company duplicated the architecture and created a second EC2 instance and EBS volume in
another Availability Zone, placing both behind an Application Load Balancer. After completing this change, users reported that, each time they
refreshed the website, they could see one subset of their documents or the other, but never all of the documents at the same time.
What should a solutions architect propose to ensure users see all of their documents at once?","A. Copy the data so both EBS volumes contain all the documents
B. Congure the Application Load Balancer to direct a user to the server with the documents
C. Copy the data from both EBS volumes to Amazon EFS. Modify the application to save new documents to Amazon EFS
D. Congure the Application Load Balancer to send the request to both servers. Return each document from the correct server",C,C (98% community votes),正確答案是 C。原因是當使用者刷新網站時，應用程式負載平衡器可能會將請求導向任一 EC2 實例，而每個實例只包含文件的其中一個子集。因此，使用者只能看到文件的其中一個子集。選項 A 不是最佳解決方案，因為它需要同步更新兩個 EBS 卷中的數據，這可能會導致數據一致性問題。選項 B 也不是最佳解決方案，因為它需要修改應用程式負載平衡器的行為，並且可能會導致使用者體驗不佳。選項 D 也不正確，因為它需要修改應用程式和應用程式負載平衡器的行為，並且可能會導致複雜性和效能問題。選項 C 是最佳解決方案，因為它使用 Amazon EFS 作為集中式儲存解決方案，允許所有 EC2 實例存取相同的文件集，並且可以確保使用者可以同時看到所有文件。,一家公司在 AWS 上使用單一 Amazon EC2 實例來託管網頁應用程式，並將使用者上傳的文件儲存在 Amazon EBS 卷中。為了提高可擴展性和可用性，公司複製了架構，創建了第二個 EC2 實例和 EBS 卷在另一個可用區域，並將兩者都放在應用程式負載平衡器後面。在完成這個變更後，使用者報告說，每次他們刷新網站時，他們只能看到文件的其中一個子集，但永遠不能同時看到所有文件。解決方案架構師應該提出什麼建議，以確保使用者可以同時看到所有文件？,"A. 複製數據，使兩個 EBS 卷都包含所有文件
B. 設定應用程式負載平衡器將使用者導向包含文件的伺服器
C. 將兩個 EBS 卷的數據複製到 Amazon EFS，修改應用程式將新文件儲存到 Amazon EFS
D. 設定應用程式負載平衡器將請求發送到兩個伺服器，從正確的伺服器返回每個文件"
6,"A company uses NFS to store large video les in on-premises network attached storage. Each video le ranges in size from 1 MB to 500 GB.
The total storage is 70 TB and is no longer growing. The company decides to migrate the video les to Amazon S3. The company must
migrate the video les as soon as possible while using the least possible network bandwidth.
Which solution will meet these requirements?","A. Create an S3 bucket. Create an IAM role that has permissions to write to the S3 bucket. Use the AWS CLI to copy all les locally to the
S3 bucket.
B. Create an AWS Snowball Edge job. Receive a Snowball Edge device on premises. Use the Snowball Edge client to transfer data to the
device. Return the device so that AWS can import the data into Amazon S3.
C. Deploy an S3 File Gateway on premises. Create a public service endpoint to connect to the S3 File Gateway. Create an S3 bucket.
Create a new NFS le share on the S3 File Gateway. Point the new le share to the S3 bucket. Transfer the data from the existing NFS le
share to the S3 File Gateway.
D. Set up an AWS Direct Connect connection between the on-premises network and AWS. Deploy an S3 File Gateway on premises. Create a
public virtual interface (VIF) to connect to the S3 File Gateway. Create an S3 bucket. Create a new NFS le share on the S3 File Gateway.
Point the new le share to the S3 bucket. Transfer the data from the existing NFS le share to the S3 File Gateway.",B,B (86% community votes),"正確答案是B，因為AWS Snowball Edge是一種針對大規模數據遷移的解決方案，能夠在最少的網路頻寬下快速遷移數據。Snowball Edge設備可以在內網中接收和傳輸數據，然後返回給AWS以匯入Amazon S3。這種方法可以節省網路頻寬和時間，滿足公司的需求。

其他選項不正確的原因是：
A. 使用AWS CLI複製檔案需要大量的網路頻寬和時間，尤其是對於大規模的數據遷移。
C. 部署S3 File Gateway需要在內網中設置和配置，且需要公用服務端點和虛擬接口，增加了複雜性和成本。
D. 設置AWS Direct Connect連接需要大量的前期投資和配置，且需要在內網中部署S3 File Gateway，增加了複雜性和成本。

因此，選擇B是最合適的解決方案，可以快速和節省網路頻寬地遷移數據到Amazon S3。",一家公司使用NFS將大型視頻檔存儲在內網的網路附加儲存設備中。每個視頻檔的大小從1 MB到500 GB不等。總儲存容量為70 TB，並且不再增加。公司決定將視頻檔遷移到Amazon S3。公司必須盡快遷移視頻檔，同时使用最少的網路頻寬。哪種解決方案能夠滿足這些需求？,"A. 創建S3儲存桶。創建具有寫入S3儲存桶許可權的IAM角色。使用AWS CLI將所有檔案複製到S3儲存桶。
B. 創建AWS Snowball Edge任務。收到Snowball Edge設備，將其放在內網中。使用Snowball Edge用戶端將數據傳輸到設備。返回設備，以便AWS可以將數據匯入Amazon S3。
C. 在內網中部署S3 File Gateway。創建公用服務端點以連接到S3 File Gateway。創建S3儲存桶。創建新的NFS檔共享在S3 File Gateway上。將新的檔共享指向S3儲存桶。將數據從現有的NFS檔共享傳輸到S3 File Gateway。
D. 在內網和AWS之間設置AWS Direct Connect連接。部署S3 File Gateway在內網中。創建公用虛擬接口（VIF）以連接到S3 File Gateway。創建S3儲存桶。創建新的NFS檔共享在S3 File Gateway上。將新的檔共享指向S3儲存桶。將數據從現有的NFS檔共享傳輸到S3 File Gateway。"
7,"A company has an application that ingests incoming messages. Dozens of other applications and microservices then quickly consume these
messages. The number of messages varies drastically and sometimes increases suddenly to 100,000 each second. The company wants to
decouple the solution and increase scalability.
Which solution meets these requirements?","A. Persist the messages to Amazon Kinesis Data Analytics. Congure the consumer applications to read and process the messages.
B. Deploy the ingestion application on Amazon EC2 instances in an Auto Scaling group to scale the number of EC2 instances based on
CPU metrics.
C. Write the messages to Amazon Kinesis Data Streams with a single shard. Use an AWS Lambda function to preprocess messages and
store them in Amazon DynamoDB. Congure the consumer applications to read from DynamoDB to process the messages.
D. Publish the messages to an Amazon Simple Notication Service (Amazon SNS) topic with multiple Amazon Simple Queue Service
(Amazon SOS) subscriptions. Congure the consumer applications to process the messages from the queues.",D,D (83% community votes),"正確答案是 D。這是因為 Amazon SNS 和 Amazon SQS 能夠提供一個完全解耦合的架構，讓接收應用程式和消費者應用程式之間不需要直接溝通。當接收應用程式發佈訊息到 Amazon SNS 主題時，Amazon SNS 會將訊息複製到多個 Amazon SQS 訂閱的佇列中，讓消費者應用程式能夠從佇列中拉取訊息進行處理。這種架構能夠提供高可擴展性和容錯性，當消費者應用程式無法及時處理訊息時，訊息會被保存在佇列中，等待消費者應用程式恢復正常運作。

其他選項不正確的原因是：
A. Amazon Kinesis Data Analytics 主要用於實時數據處理和分析，而不是用於解耦合應用程式。
B. 使用 Auto Scaling 群組來擴展 EC2 實例的數量只能夠增加接收應用程式的容量，但無法解耦合接收應用程式和消費者應用程式。
C. 使用 Amazon Kinesis Data Streams 和 AWS Lambda 函數能夠提供一定的解耦合，但仍然需要消費者應用程式從 DynamoDB 讀取訊息，無法完全解耦合。另外，單一 Shard 的 Kinesis Data Streams 會限制訊息的吞吐量，無法滿足每秒 100,000 個訊息的需求。","一家公司有一個應用程式，負責接收傳入的訊息。數十個其他應用程式和微服務隨後快速消耗這些訊息。訊息的數量會劇烈變化，有時甚至會突然增加到每秒 100,000 個。公司希望解耦合這個解決方案並增加可擴展性。哪個解決方案能夠滿足這些需求？","A. 將訊息保存到 Amazon Kinesis Data Analytics，設定消費者應用程式讀取和處理訊息。
B. 將接收應用程式部署在 Amazon EC2 實例上，使用 Auto Scaling 群組根據 CPU 指標來擴展 EC2 實例的數量。
C. 將訊息寫入具有單一 Shard 的 Amazon Kinesis Data Streams，使用 AWS Lambda 函數預處理訊息並儲存到 Amazon DynamoDB，設定消費者應用程式從 DynamoDB 讀取訊息以進行處理。
D. 將訊息發佈到具有多個 Amazon Simple Queue Service (Amazon SQS) 訂閱的 Amazon Simple Notification Service (Amazon SNS) 主題，設定消費者應用程式從佇列中處理訊息。"
8,"A company is migrating a distributed application to AWS. The application serves variable workloads. The legacy platform consists of a primary
server that coordinates jobs across multiple compute nodes. The company wants to modernize the application with a solution that maximizes
resiliency and scalability.
How should a solutions architect design the architecture to meet these requirements?","A. Congure an Amazon Simple Queue Service (Amazon SQS) queue as a destination for the jobs. Implement the compute nodes with
Amazon EC2 instances that are managed in an Auto Scaling group. Congure EC2 Auto Scaling to use scheduled scaling.
B. Congure an Amazon Simple Queue Service (Amazon SQS) queue as a destination for the jobs. Implement the compute nodes with
Amazon EC2 instances that are managed in an Auto Scaling group. Congure EC2 Auto Scaling based on the size of the queue.
C. Implement the primary server and the compute nodes with Amazon EC2 instances that are managed in an Auto Scaling group.
Congure AWS CloudTrail as a destination for the jobs. Congure EC2 Auto Scaling based on the load on the primary server.
D. Implement the primary server and the compute nodes with Amazon EC2 instances that are managed in an Auto Scaling group.
Congure Amazon EventBridge (Amazon CloudWatch Events) as a destination for the jobs. Congure EC2 Auto Scaling based on the load
on the compute nodes.",B,B (93% community votes),"為了滿足公司的需求，解決方案架構師需要設計一個架構，以最大限度地提高韌性和可擴展性。選項 B 是正確答案，因為它使用 Amazon SQS 佇列作為工作的目的地，並根據佇列的大小設定 EC2 Auto Scaling。這樣可以確保計算節點的數量根據工作負載的變化進行動態調整，從而提高系統的可擴展性和韌性。

選項 A 不正確，因為它使用排程擴展，這不能夠根據工作負載的變化進行動態調整。選項 C 不正確，因為它使用 AWS CloudTrail 作為工作的目的地，但 CloudTrail 主要用於記錄和監控 AWS 服務的活動，而不是用於工作排程。選項 D 不正確，因為它使用 Amazon EventBridge 作為工作的目的地，但 EventBridge 主要用於事件驅動的架構，而不是用於工作排程。

因此，選項 B 是最合適的解決方案，因為它使用 Amazon SQS 佇列和 EC2 Auto Scaling 根據佇列的大小進行動態調整，從而提高系統的可擴展性和韌性。",一家公司正在將一個分佈式應用程式遷移到 AWS。該應用程式服務於變化的工作負載。傳統平台由一個主要伺服器組成，該伺服器在多個計算節點之間協調工作。公司希望使用一種解決方案來現代化應用程式，以最大限度地提高韌性和可擴展性。解決方案架構師應如何設計架構以滿足這些需求？,"A. 將 Amazon Simple Queue Service (Amazon SQS) 佇列作為工作的目的地。使用 Amazon EC2 執行個體實現計算節點，並將其管理在 Auto Scaling 群組中。設定 EC2 Auto Scaling 使用排程擴展。
B. 將 Amazon Simple Queue Service (Amazon SQS) 佇列作為工作的目的地。使用 Amazon EC2 執行個體實現計算節點，並將其管理在 Auto Scaling 群組中。設定 EC2 Auto Scaling 根據佇列的大小。
C. 使用 Amazon EC2 執行個體實現主要伺服器和計算節點，並將其管理在 Auto Scaling 群組中。設定 AWS CloudTrail 作為工作的目的地。設定 EC2 Auto Scaling 根據主要伺服器的負載。
D. 使用 Amazon EC2 執行個體實現主要伺服器和計算節點，並將其管理在 Auto Scaling 群組中。設定 Amazon EventBridge (Amazon CloudWatch Events) 作為工作的目的地。設定 EC2 Auto Scaling 根據計算節點的負載。"
9,"A company is running an SMB le server in its data center. The le server stores large les that are accessed frequently for the rst few days
after the les are created. After 7 days the les are rarely accessed.
The total data size is increasing and is close to the company's total storage capacity. A solutions architect must increase the company's
available storage space without losing low-latency access to the most recently accessed les. The solutions architect must also provide le
lifecycle management to avoid future storage issues.
Which solution will meet these requirements?","A. Use AWS DataSync to copy data that is older than 7 days from the SMB le server to AWS.
B. Create an Amazon S3 File Gateway to extend the company's storage space. Create an S3 Lifecycle policy to transition the data to S3
Glacier Deep Archive after 7 days.
C. Create an Amazon FSx for Windows File Server le system to extend the company's storage space.
D. Install a utility on each user's computer to access Amazon S3. Create an S3 Lifecycle policy to transition the data to S3 Glacier Flexible
Retrieval after 7 days.",B,B (83% community votes),"答案 B 是正確的，因為它滿足了所有需求。Amazon S3 檔案閘道可以將公司的儲存空間擴展到 AWS，同時提供低延遲存取最近存取的檔案。S3 生命週期政策可以自動將資料轉移到 S3 Glacier Deep Archive，在 7 天後，從而減少儲存成本並避免未來的儲存問題。這個解決方案也提供了檔案生命週期管理，確保資料被妥善管理和儲存。

選項 A 不正確，因為使用 AWS DataSync 只能複製資料到 AWS，但不能提供檔案生命週期管理和低延遲存取最近存取的檔案。選項 C 不正確，因為建立 Amazon FSx for Windows File Server 檔案系統只能提供儲存空間擴展，但不能提供檔案生命週期管理和自動轉移資料到冷儲存。選項 D 不正確，因為在每個使用者的電腦上安裝公用程式以存取 Amazon S3 不能提供低延遲存取最近存取的檔案，同時也需要額外的管理和維護。",一家公司在其資料中心運行了一個 SMB 檔案伺服器。檔案伺服器儲存了大量檔案，這些檔案在創建後的前幾天內經常被存取。檔案創建後 7 天後，檔案很少被存取。總資料大小不斷增加，接近公司的總儲存容量。解決方案架構師必須在不失去低延遲存取最近存取檔案的同時增加公司的可用儲存空間。解決方案架構師還必須提供檔案生命週期管理，以避免未來的儲存問題。哪種解決方案能夠滿足這些需求？,"A. 使用 AWS DataSync 將 SMB 檔案伺服器中超過 7 天的資料複製到 AWS。
B. 建立 Amazon S3 檔案閘道來擴展公司的儲存空間。建立 S3 生命週期政策，在 7 天後將資料轉移到 S3 Glacier Deep Archive。
C. 建立 Amazon FSx for Windows File Server 檔案系統來擴展公司的儲存空間。
D. 在每個使用者的電腦上安裝公用程式，以存取 Amazon S3。建立 S3 生命週期政策，在 7 天後將資料轉移到 S3 Glacier Flexible Retrieval。"
10,"A company is building an ecommerce web application on AWS. The application sends information about new orders to an Amazon API
Gateway REST API to process. The company wants to ensure that orders are processed in the order that they are received.
Which solution will meet these requirements?","A. Use an API Gateway integration to publish a message to an Amazon Simple Notication Service (Amazon SNS) topic when the
application receives an order. Subscribe an AWS Lambda function to the topic to perform processing.
B. Use an API Gateway integration to send a message to an Amazon Simple Queue Service (Amazon SQS) FIFO queue when the
application receives an order. Congure the SQS FIFO queue to invoke an AWS Lambda function for processing.
C. Use an API Gateway authorizer to block any requests while the application processes an order.
D. Use an API Gateway integration to send a message to an Amazon Simple Queue Service (Amazon SQS) standard queue when the
application receives an order. Congure the SQS standard queue to invoke an AWS Lambda function for processing.",B,B (98% community votes),正確答案是 B。因為 Amazon SQS FIFO 排隊能夠保證訊息按照接收的順序進行處理，這是因為 FIFO 排隊的設計原理是先進先出，確保訊息不會被跳過或改變順序。這樣可以確保訂單按照接收的順序進行處理。其他選項不正確的原因是：A 選項使用 Amazon SNS 主題，SNS 主題不保證訊息的順序；C 選項使用 API Gateway 授權者來阻止請求，這不會解決訂單處理順序的問題；D 選項使用 Amazon SQS 標準排隊，雖然可以進行訊息排隊，但不保證訊息的順序。因此，選項 B 是最合適的解決方案。,一家公司正在使用 AWS 建立電子商務網頁應用程式。該應用程式將新訂單的資訊傳送到 Amazon API Gateway REST API 進行處理。公司希望確保訂單按照接收的順序進行處理。哪種解決方案能夠滿足這些需求？,"A. 使用 API Gateway 整合將訊息發佈到 Amazon Simple Notification Service (Amazon SNS) 主題，當應用程式接收到訂單時。將 AWS Lambda 函數訂閱到主題以進行處理。
B. 使用 API Gateway 整合將訊息傳送到 Amazon Simple Queue Service (Amazon SQS) FIFO 排隊，當應用程式接收到訂單時。設定 SQS FIFO 排隊以呼叫 AWS Lambda 函數進行處理。
C. 使用 API Gateway 授權者來阻止任何請求，直到應用程式處理完訂單。
D. 使用 API Gateway 整合將訊息傳送到 Amazon Simple Queue Service (Amazon SQS) 標準排隊，當應用程式接收到訂單時。設定 SQS 標準排隊以呼叫 AWS Lambda 函數進行處理。"
